               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.049484,            0.014248,           0.0068649,            0.014997,            0.017477,           0.0062038,           0.0036676,            0.091899,            0.020901,            0.058385,            0.004654,            0.004654,            0.004654
                  56,            0.047753,            0.015393,           0.0062075,            0.013449,            0.018739,           0.0059413,           0.0036979,            0.091193,            0.021147,            0.057053,            0.004555,            0.004555,            0.004555
                  57,            0.049797,            0.015211,           0.0064239,              0.0157,            0.024144,           0.0080875,           0.0052341,            0.092007,            0.020649,            0.058787,            0.004456,            0.004456,            0.004456
                  58,             0.04751,            0.013996,           0.0049714,             0.22533,            0.012072,            0.008455,           0.0062249,            0.092657,            0.020447,            0.060394,            0.004357,            0.004357,            0.004357
                  59,            0.048309,            0.014092,            0.005429,             0.24893,            0.012072,           0.0096723,           0.0064574,            0.091453,            0.020541,            0.061701,            0.004258,            0.004258,            0.004258
                  60,              0.0447,            0.012559,           0.0050482,            0.024705,            0.031894,            0.010338,           0.0076438,            0.091494,            0.020863,            0.059601,            0.004159,            0.004159,            0.004159
                  61,            0.045933,            0.013773,            0.004613,            0.050252,            0.045405,            0.010764,            0.006958,            0.092358,            0.020946,            0.058698,             0.00406,             0.00406,             0.00406
                  62,            0.047607,             0.01372,           0.0056602,            0.048907,            0.045204,           0.0088596,           0.0061972,            0.092681,            0.020947,            0.059352,            0.003961,            0.003961,            0.003961
                  63,            0.046208,            0.013322,           0.0044394,            0.038276,            0.046591,           0.0077696,            0.005304,            0.092544,            0.020728,            0.058802,            0.003862,            0.003862,            0.003862
                  64,            0.048004,            0.013923,            0.005024,            0.030088,            0.038739,            0.005452,           0.0035196,            0.092993,            0.021221,            0.057465,            0.003763,            0.003763,            0.003763
                  65,            0.045187,            0.012583,           0.0046028,            0.014135,           0.0054054,            0.005949,           0.0039336,            0.093261,            0.021368,            0.056107,            0.003664,            0.003664,            0.003664
                  66,            0.045615,            0.012708,            0.004361,            0.011572,           0.0054054,           0.0058219,           0.0038678,            0.091778,               0.022,            0.055791,            0.003565,            0.003565,            0.003565
                  67,            0.044978,            0.014225,           0.0043421,            0.020993,            0.010534,           0.0057433,           0.0040161,            0.091281,            0.022281,            0.055433,            0.003466,            0.003466,            0.003466
                  68,            0.043409,            0.012333,           0.0047923,            0.022185,            0.010534,           0.0074572,           0.0052784,            0.090433,             0.02221,            0.056847,            0.003367,            0.003367,            0.003367
                  69,            0.044382,            0.012815,           0.0041624,            0.024055,            0.015566,           0.0088455,           0.0061889,             0.09013,            0.021723,            0.059931,            0.003268,            0.003268,            0.003268
                  70,            0.041976,            0.013252,           0.0042573,           0.0071362,           0.0054054,           0.0058246,           0.0037545,            0.090861,            0.021518,            0.061376,            0.003169,            0.003169,            0.003169
                  71,            0.043462,            0.013059,           0.0033259,             0.23117,           0.0054054,           0.0039231,           0.0023893,            0.091517,            0.021596,            0.061722,             0.00307,             0.00307,             0.00307
                  72,            0.041888,            0.011776,           0.0045268,             0.22722,           0.0054054,           0.0040372,           0.0025634,            0.092453,            0.021617,            0.061818,            0.002971,            0.002971,            0.002971
                  73,            0.041251,            0.011479,           0.0033099,             0.21595,           0.0054054,           0.0032517,           0.0020624,            0.092438,            0.021825,            0.062154,            0.002872,            0.002872,            0.002872
                  74,            0.043938,            0.012845,           0.0042231,            0.014679,           0.0054054,           0.0042225,           0.0028113,             0.09287,            0.022085,            0.059443,            0.002773,            0.002773,            0.002773
                  75,            0.042645,            0.012702,           0.0034484,           0.0058483,           0.0054054,           0.0058135,           0.0044233,            0.092551,            0.021942,            0.060369,            0.002674,            0.002674,            0.002674
                  76,            0.039828,            0.012107,           0.0029111,           0.0059555,           0.0054054,           0.0096798,           0.0067458,            0.093158,             0.02166,            0.061343,            0.002575,            0.002575,            0.002575
                  77,            0.041123,             0.01236,           0.0031853,            0.013079,            0.012072,           0.0073061,           0.0053687,            0.092427,            0.021883,            0.062068,            0.002476,            0.002476,            0.002476
                  78,            0.040047,            0.012033,           0.0032993,            0.013357,            0.012072,           0.0093027,           0.0071501,            0.092207,            0.021872,            0.062449,            0.002377,            0.002377,            0.002377
                  79,            0.038315,            0.011906,           0.0032706,            0.018511,            0.017477,            0.010723,           0.0072893,            0.092499,            0.021231,            0.063929,            0.002278,            0.002278,            0.002278
                  80,            0.039061,             0.01294,           0.0026976,            0.023197,            0.017477,            0.010256,           0.0073023,            0.092032,            0.021548,             0.06424,            0.002179,            0.002179,            0.002179
                  81,            0.037895,            0.012227,           0.0023109,            0.026457,            0.022883,             0.01077,           0.0076773,            0.092214,             0.02166,            0.064865,             0.00208,             0.00208,             0.00208
                  82,            0.039143,            0.012569,           0.0031891,            0.018021,            0.017477,           0.0089012,           0.0065432,            0.092041,            0.022042,             0.06424,            0.001981,            0.001981,            0.001981
                  83,            0.035932,            0.010622,           0.0027367,             0.01407,            0.012072,           0.0080775,           0.0051641,            0.091802,            0.022167,            0.064194,            0.001882,            0.001882,            0.001882
                  84,            0.037582,            0.012781,           0.0023785,            0.015083,            0.012072,           0.0076707,           0.0054838,            0.091456,            0.022178,            0.063878,            0.001783,            0.001783,            0.001783
                  85,            0.037963,            0.011873,           0.0028205,            0.045221,            0.012072,           0.0086578,           0.0065745,            0.091931,            0.021805,            0.064687,            0.001684,            0.001684,            0.001684
                  86,            0.036103,            0.011436,           0.0022067,             0.01916,            0.012072,              0.0096,           0.0068946,            0.091479,            0.021889,            0.064128,            0.001585,            0.001585,            0.001585
                  87,             0.03903,            0.011542,           0.0029485,            0.033824,            0.018739,           0.0093504,            0.006331,            0.091627,            0.022007,            0.063059,            0.001486,            0.001486,            0.001486
                  88,            0.035851,            0.011536,           0.0028427,            0.034877,            0.018739,            0.010071,           0.0068298,            0.091833,            0.022004,            0.062607,            0.001387,            0.001387,            0.001387
                  89,            0.034092,            0.011415,           0.0022507,            0.034023,            0.018739,           0.0089215,           0.0062238,             0.09188,            0.022223,            0.061122,            0.001288,            0.001288,            0.001288
                  90,            0.035434,             0.01221,           0.0022856,            0.034461,            0.018739,           0.0076834,           0.0055443,             0.09179,            0.022369,            0.060827,            0.001189,            0.001189,            0.001189
                  91,            0.035777,            0.010616,           0.0021854,            0.035196,            0.018739,           0.0091527,           0.0062824,             0.09202,            0.022414,            0.060898,             0.00109,             0.00109,             0.00109
                  92,            0.035787,            0.011301,           0.0021068,            0.029557,            0.016572,           0.0097343,           0.0070303,            0.092066,            0.022362,            0.060816,            0.000991,            0.000991,            0.000991
                  93,            0.034861,            0.011438,           0.0020031,            0.033978,            0.018739,           0.0098099,           0.0068805,            0.092382,            0.022195,            0.061635,            0.000892,            0.000892,            0.000892
                  94,            0.035306,            0.010858,           0.0021808,            0.033256,            0.018739,            0.010296,           0.0081053,            0.092291,            0.022137,            0.062754,            0.000793,            0.000793,            0.000793
                  95,            0.035623,            0.010925,           0.0019926,            0.033847,            0.018739,            0.010491,           0.0073578,            0.092537,            0.021947,            0.063354,            0.000694,            0.000694,            0.000694
                  96,            0.035602,            0.010708,           0.0030896,             0.03655,            0.018739,             0.01006,           0.0070458,            0.092165,            0.021912,            0.063634,            0.000595,            0.000595,            0.000595
                  97,            0.037407,            0.011681,           0.0022176,            0.034183,            0.018739,           0.0095219,           0.0067713,            0.091912,             0.02204,             0.06311,            0.000496,            0.000496,            0.000496
                  98,            0.035507,            0.011006,           0.0022607,            0.033238,            0.018739,           0.0090305,           0.0056452,            0.091633,            0.022167,              0.0631,            0.000397,            0.000397,            0.000397
                  99,             0.03432,            0.011396,            0.002195,            0.032001,            0.018739,           0.0090571,           0.0059146,            0.091655,            0.022142,            0.062978,            0.000298,            0.000298,            0.000298
